timestamp,provider,region,continent,honeypot,event_type,protocol,dst_port,src_ip,src_country,asn,ip_reputation,src_os,username,password,cve,action,payload_sample_hash,bytes_in,bytes_out,session_id,hour,dow,anomaly_score,anomaly_percentile,anomaly_z
2025-07-05 00:23:00,aws,us-east-1c,North America,glutton,ssh_banner_grab,udp,22,110.127.67.221,br,,known_attacker,linux 3.x,,,nan,connection_attempted,,7221,4451,3f37e6b5c00e,0,5,0.21929818,0.824,0.7814082
2025-07-05 00:52:00,azure,east us,North America,glutton,ssh_banner_grab,udp,53,107.124.58.215,ie,,bad_reputation,linux 3.x,,,nan,connection_attempted,,8190,325,4552e9366735,0,5,0.29102892,0.968,2.3288045
2025-07-05 01:49:00,gcp,us-east4-c,North America,dionaea,service_probe,udp,1433,48.74.33.175,in,,benign_suspected,windows 7/8,,,cve-2006-2369,connection_attempted,,2040,4606,aa153b31c5e6,1,5,0.23128371,0.872,1.0399634
2025-07-05 05:48:00,gcp,us-east4-c,North America,glastopf,lfi_rfi,tcp,53,79.254.165.97,ru,,bad_reputation,unknown,,,cve-2006-2369,connection_attempted,78361fd3b1fdf332,8460,4848,da2a4e862dbf,5,5,0.19186884,0.646,0.1896944
2025-07-05 06:30:00,gcp,europe-west2-c,Europe,dionaea,service_probe,tcp,8080,196.3.85.40,in,,known_attacker,unknown,,,cve-2012-0152,connection_attempted,,3847,5543,af3de8d11d10,6,5,0.32806468,0.992,3.1277506
2025-07-05 07:12:00,gcp,europe-west2-c,Europe,cowrie,command_input,udp,995,190.177.136.106,vn,,bad_reputation,windows 7/8,admin,P@ssw0rd,nan,command_executed,,3444,4970,33a1839698d0,7,5,0.16548017,0.404,-0.3795698
2025-07-05 09:21:00,gcp,europe-west2-c,Europe,rdpy,rdp_auth_attempt,tcp,587,103.98.214.119,cn,,bad_reputation,unknown,,,cve-2005-4050,authentication_failed,,2367,2061,7a92592fcc36,9,5,0.16349821,0.39,-0.42232516
2025-07-05 10:25:00,aws,us-east-1c,North America,dionaea,service_probe,udp,110,77.169.132.107,ve,,bad_reputation,windows 7/8,,,cve-2012-0152,command_executed,,4346,2537,c5a385035797,10,5,0.15433136,0.3,-0.62007517
2025-07-05 11:05:00,gcp,europe-west2-c,Europe,cowrie,command_input,tcp,443,147.229.16.236,in,,known_attacker,linux 2.6.x,root,admin,nan,payload_captured,,6654,4606,385d0fa882bd,11,5,0.11177029,0.01,-1.5382149
2025-07-05 11:58:00,gcp,europe-west2-c,Europe,vnclowpot,vnc_auth_attempt,udp,135,181.71.110.116,de,,bad_reputation,unknown,,,cve-2005-4050,authentication_failed,,1469,3917,eacd66cc1c0a,11,5,0.20423292,0.742,0.45641583
2025-07-05 13:42:00,gcp,us-east4-c,North America,glutton,tcp_connect,tcp,995,245.104.204.183,ie,,bad_reputation,linux 3.x,,,nan,command_executed,,4774,508,45dd3e9f8900,13,5,0.1744753,0.496,-0.18552421
2025-07-05 14:00:00,azure,southeast asia,Asia,rdpy,rdp_auth_attempt,tcp,25,102.184.26.179,de,,unknown,unknown,,,cve-2012-0152,authentication_failed,,3146,3413,923baef202b4,14,5,0.17900439,0.548,-0.08782138
2025-07-05 14:10:00,aws,us-east-1c,North America,dionaea,exploit_attempt,tcp,23,19.210.2.52,ve,,known_attacker,linux 2.6.x,,,cve-2006-2369,command_executed,,935,3873,e9ed51b2e3fa,14,5,0.22000414,0.828,0.7966373
2025-07-05 15:13:00,azure,east us,North America,glutton,tcp_connect,tcp,23,57.220.178.87,vn,,known_attacker,linux 3.x,,,nan,alert_logged,,6535,3556,4473bf72ce5d,15,5,0.12906025,0.07,-1.1652308
2025-07-05 17:48:00,gcp,europe-west2-c,Europe,cowrie,telnet_login_attempt,udp,443,218.104.234.99,ve,,known_attacker,unknown,guest,password,nan,connection_attempted,,8599,4857,ef147dd9f5c7,17,5,0.112735905,0.012,-1.5173844
2025-07-05 18:44:00,azure,southeast asia,Asia,glutton,tcp_connect,tcp,995,249.223.7.10,sg,,known_attacker,unknown,,,nan,command_executed,,5250,2703,65a74de27005,18,5,0.13032973,0.076,-1.1378453
2025-07-05 19:01:00,aws,us-east-1c,North America,cowrie,telnet_login_attempt,udp,5060,122.199.141.183,in,,known_attacker,unknown,postgres,qwerty,nan,authentication_failed,,3253,3234,1760b5739f64,19,5,0.19111943,0.644,0.17352793
2025-07-05 21:44:00,aws,us-east-1c,North America,cowrie,command_input,tcp,1433,111.75.100.117,br,,known_attacker,unknown,,,nan,connection_attempted,,7535,6161,ecd19c2ff33b,21,5,0.13681874,0.112,-0.9978625
2025-07-05 22:30:00,gcp,us-east4-c,North America,cowrie,ssh_login_attempt,tcp,1433,87.47.16.60,gb,,unknown,linux 4.x,support,toor,nan,payload_captured,,2843,4744,76b460b0c5b2,22,5,0.20468897,0.748,0.46625388
2025-07-05 22:56:00,azure,southeast asia,Asia,glutton,ssh_banner_grab,udp,445,1.164.158.130,sg,,bad_reputation,windows 7/8,,,nan,connection_attempted,,6391,2727,730d0886b5a6,22,5,0.16062197,0.37,-0.4843722
2025-07-05 23:11:00,azure,southeast asia,Asia,glutton,tcp_connect,udp,23,94.231.61.66,ru,,spam,windows 7/8,,,nan,command_executed,,4866,2765,036faf706b60,23,5,0.19304527,0.66,0.21507274
2025-07-06 01:59:00,gcp,us-east4-c,North America,glastopf,web_attack,tcp,1433,45.52.136.231,gb,,known_attacker,windows xp,,,nan,alert_logged,580dd712f8f03d63,6023,5162,a5ef1d7cc44e,1,6,0.205144,0.754,0.47607005
2025-07-06 04:14:00,gcp,us-east4-c,North America,dionaea,exploit_attempt,udp,587,120.241.225.122,br,,known_attacker,unknown,,,cve-2012-0152,payload_captured,,2146,2164,2b91fbc7c942,4,6,0.19824098,0.7,0.32715604
2025-07-06 04:21:00,azure,east us,North America,cowrie,ssh_login_attempt,tcp,465,192.59.238.78,br,,known_attacker,unknown,guest,12345678,nan,command_executed,,3545,3461,4bacda2549a9,4,6,0.16867846,0.442,-0.31057522
2025-07-06 06:49:00,azure,southeast asia,Asia,glutton,tcp_connect,tcp,110,223.199.41.120,ru,,bad_reputation,linux 3.x,,,nan,command_executed,,6877,3656,4ef795130be0,6,6,0.16429742,0.392,-0.4050844
2025-07-06 06:51:00,azure,east us,North America,glutton,tcp_connect,udp,5060,235.124.242.136,ru,,benign_suspected,linux 2.6.x,,,nan,payload_captured,,1900,1538,5c7c505752af,6,6,0.25572297,0.924,1.5671743
2025-07-06 07:49:00,aws,us-east-1c,North America,cowrie,ssh_login_attempt,tcp,3389,248.170.207.185,ru,,bad_reputation,linux 2.6.x,pi,raspberry,nan,command_executed,,4018,4501,dc72e35fadd6,7,6,0.1703977,0.462,-0.27348736
2025-07-06 08:42:00,aws,us-east-1c,North America,glastopf,web_attack,udp,139,18.89.239.216,br,,known_attacker,windows 7/8,,,cve-2006-2369,alert_logged,9c1fac08d4e47ffa,4733,3008,10d5f4ffa73c,8,6,0.18078268,0.572,-0.0494596
2025-07-06 10:46:00,aws,us-east-1c,North America,dionaea,malware_capture,tcp,465,131.147.47.46,ru,,bad_reputation,windows 7/8,,,cve-2005-4050,command_executed,bf4c377c9da295f3,3664,1589,262e855186a0,10,6,0.18720824,0.608,0.089154445
2025-07-06 11:07:00,azure,east us,North America,rdpy,rdp_auth_attempt,udp,23,175.183.248.74,us,,unknown,linux 2.6.x,,,cve-2005-4050,payload_captured,,7673,3420,1f474916ce43,11,6,0.19767992,0.694,0.31505272
2025-07-06 11:16:00,gcp,europe-west2-c,Europe,cowrie,telnet_login_attempt,tcp,53,139.132.46.123,cn,,bad_reputation,linux 2.6.x,test,letmein,nan,payload_captured,,5670,1307,916fd0899b9f,11,6,0.17454146,0.498,-0.18409696
2025-07-06 12:04:00,gcp,europe-west2-c,Europe,dionaea,exploit_attempt,udp,465,28.186.111.252,vn,,known_attacker,windows 7/8,,,cve-2001-0540,authentication_failed,,4732,1822,570ca74ddbcd,12,6,0.17530788,0.508,-0.16756338
2025-07-06 16:08:00,gcp,us-east4-c,North America,cowrie,command_input,udp,3389,188.247.177.57,vn,,unknown,windows 7/8,support,P@ssw0rd,nan,payload_captured,,3224,3156,a9ed55352f67,16,6,0.17773053,0.526,-0.11530136
2025-07-06 17:01:00,azure,east us,North America,glutton,ssh_banner_grab,udp,993,70.113.57.61,in,,known_attacker,unknown,,,nan,connection_attempted,,2166,6443,9745484cf513,17,6,0.26980194,0.95,1.87089
2025-07-06 17:40:00,azure,southeast asia,Asia,mailoney,relay_attempt,tcp,139,70.125.138.208,cn,,known_attacker,linux 4.x,,,nan,command_executed,,5122,2800,a309b983103b,17,6,0.16639997,0.418,-0.3597275
