timestamp,provider,region,continent,honeypot,event_type,protocol,dst_port,src_ip,src_country,asn,ip_reputation,src_os,username,password,cve,action,payload_sample_hash,bytes_in,bytes_out,session_id
2025-07-05T00:23:00,AWS,us-east-1c,North America,Glutton,ssh_banner_grab,UDP,22,110.127.67.221,BR,AS45102,known_attacker,Linux 3.x,,,,connection_attempted,,7221,4451,3f37e6b5c00e
2025-07-05T00:52:00,Azure,East US,North America,Glutton,ssh_banner_grab,UDP,53,107.124.58.215,IE,AS45102,bad_reputation,Linux 3.x,,,,connection_attempted,,8190,325,4552e9366735
2025-07-05T01:49:00,GCP,us-east4-c,North America,Dionaea,service_probe,UDP,1433,48.74.33.175,IN,AS45102,benign_suspected,Windows 7/8,,,CVE-2006-2369,connection_attempted,,2040,4606,aa153b31c5e6
2025-07-05T05:48:00,GCP,us-east4-c,North America,Glastopf,lfi_rfi,TCP,53,79.254.165.97,RU,AS37963,bad_reputation,Unknown,,,CVE-2006-2369,connection_attempted,78361fd3b1fdf332,8460,4848,da2a4e862dbf
2025-07-05T06:30:00,GCP,europe-west2-c,Europe,Dionaea,service_probe,TCP,8080,196.3.85.40,IN,AS45102,known_attacker,Unknown,,,CVE-2012-0152,connection_attempted,,3847,5543,af3de8d11d10
2025-07-05T07:12:00,GCP,europe-west2-c,Europe,Cowrie,command_input,UDP,995,190.177.136.106,VN,AS14061,bad_reputation,Windows 7/8,admin,P@ssw0rd,,command_executed,,3444,4970,33a1839698d0
2025-07-05T09:21:00,GCP,europe-west2-c,Europe,RDPY,rdp_auth_attempt,TCP,587,103.98.214.119,CN,AS8075,bad_reputation,Unknown,,,CVE-2005-4050,authentication_failed,,2367,2061,7a92592fcc36
2025-07-05T10:25:00,AWS,us-east-1c,North America,Dionaea,service_probe,UDP,110,77.169.132.107,VE,AS14618,bad_reputation,Windows 7/8,,,CVE-2012-0152,command_executed,,4346,2537,c5a385035797
2025-07-05T11:05:00,GCP,europe-west2-c,Europe,Cowrie,command_input,TCP,443,147.229.16.236,IN,AS45102,known_attacker,Linux 2.6.x,root,admin,,payload_captured,,6654,4606,385d0fa882bd
2025-07-05T11:58:00,GCP,europe-west2-c,Europe,VNClowpot,vnc_auth_attempt,UDP,135,181.71.110.116,DE,AS14061,bad_reputation,Unknown,,,CVE-2005-4050,authentication_failed,,1469,3917,eacd66cc1c0a
2025-07-05T13:42:00,GCP,us-east4-c,North America,Glutton,tcp_connect,TCP,995,245.104.204.183,IE,AS13335,bad_reputation,Linux 3.x,,,,command_executed,,4774,508,45dd3e9f8900
2025-07-05T14:00:00,Azure,Southeast Asia,Asia,RDPY,rdp_auth_attempt,TCP,25,102.184.26.179,DE,AS14061,unknown,Unknown,,,CVE-2012-0152,authentication_failed,,3146,3413,923baef202b4
2025-07-05T14:10:00,AWS,us-east-1c,North America,Dionaea,exploit_attempt,TCP,23,19.210.2.52,VE,AS36351,known_attacker,Linux 2.6.x,,,CVE-2006-2369,command_executed,,935,3873,e9ed51b2e3fa
2025-07-05T15:13:00,Azure,East US,North America,Glutton,tcp_connect,TCP,23,57.220.178.87,VN,AS16509,known_attacker,Linux 3.x,,,,alert_logged,,6535,3556,4473bf72ce5d
2025-07-05T17:48:00,GCP,europe-west2-c,Europe,Cowrie,telnet_login_attempt,UDP,443,218.104.234.99,VE,AS16509,known_attacker,Unknown,guest,password,,connection_attempted,,8599,4857,ef147dd9f5c7
2025-07-05T18:44:00,Azure,Southeast Asia,Asia,Glutton,tcp_connect,TCP,995,249.223.7.10,SG,AS13335,known_attacker,Unknown,,,,command_executed,,5250,2703,65a74de27005
2025-07-05T19:01:00,AWS,us-east-1c,North America,Cowrie,telnet_login_attempt,UDP,5060,122.199.141.183,IN,AS45102,known_attacker,Unknown,postgres,qwerty,,authentication_failed,,3253,3234,1760b5739f64
2025-07-05T21:44:00,AWS,us-east-1c,North America,Cowrie,command_input,TCP,1433,111.75.100.117,BR,AS8075,known_attacker,Unknown,,,,connection_attempted,,7535,6161,ecd19c2ff33b
2025-07-05T22:30:00,GCP,us-east4-c,North America,Cowrie,ssh_login_attempt,TCP,1433,87.47.16.60,GB,AS13335,unknown,Linux 4.x,support,toor,,payload_captured,,2843,4744,76b460b0c5b2
2025-07-05T22:56:00,Azure,Southeast Asia,Asia,Glutton,ssh_banner_grab,UDP,445,1.164.158.130,SG,AS36351,bad_reputation,Windows 7/8,,,,connection_attempted,,6391,2727,730d0886b5a6
2025-07-05T23:11:00,Azure,Southeast Asia,Asia,Glutton,tcp_connect,UDP,23,94.231.61.66,RU,AS16509,spam,Windows 7/8,,,,command_executed,,4866,2765,036faf706b60
2025-07-06T01:59:00,GCP,us-east4-c,North America,Glastopf,web_attack,TCP,1433,45.52.136.231,GB,AS14061,known_attacker,Windows XP,,,,alert_logged,580dd712f8f03d63,6023,5162,a5ef1d7cc44e
2025-07-06T04:14:00,GCP,us-east4-c,North America,Dionaea,exploit_attempt,UDP,587,120.241.225.122,BR,AS14061,known_attacker,Unknown,,,CVE-2012-0152,payload_captured,,2146,2164,2b91fbc7c942
2025-07-06T04:21:00,Azure,East US,North America,Cowrie,ssh_login_attempt,TCP,465,192.59.238.78,BR,AS15169,known_attacker,Unknown,guest,12345678,,command_executed,,3545,3461,4bacda2549a9
2025-07-06T06:49:00,Azure,Southeast Asia,Asia,Glutton,tcp_connect,TCP,110,223.199.41.120,RU,AS36351,bad_reputation,Linux 3.x,,,,command_executed,,6877,3656,4ef795130be0
2025-07-06T06:51:00,Azure,East US,North America,Glutton,tcp_connect,UDP,5060,235.124.242.136,RU,AS14618,benign_suspected,Linux 2.6.x,,,,payload_captured,,1900,1538,5c7c505752af
2025-07-06T07:49:00,AWS,us-east-1c,North America,Cowrie,ssh_login_attempt,TCP,3389,248.170.207.185,RU,AS45102,bad_reputation,Linux 2.6.x,pi,raspberry,,command_executed,,4018,4501,dc72e35fadd6
2025-07-06T08:42:00,AWS,us-east-1c,North America,Glastopf,web_attack,UDP,139,18.89.239.216,BR,AS8075,known_attacker,Windows 7/8,,,CVE-2006-2369,alert_logged,9c1fac08d4e47ffa,4733,3008,10d5f4ffa73c
2025-07-06T10:46:00,AWS,us-east-1c,North America,Dionaea,malware_capture,TCP,465,131.147.47.46,RU,AS13335,bad_reputation,Windows 7/8,,,CVE-2005-4050,command_executed,bf4c377c9da295f3,3664,1589,262e855186a0
2025-07-06T11:07:00,Azure,East US,North America,RDPY,rdp_auth_attempt,UDP,23,175.183.248.74,US,AS14618,unknown,Linux 2.6.x,,,CVE-2005-4050,payload_captured,,7673,3420,1f474916ce43
2025-07-06T11:16:00,GCP,europe-west2-c,Europe,Cowrie,telnet_login_attempt,TCP,53,139.132.46.123,CN,AS36351,bad_reputation,Linux 2.6.x,test,letmein,,payload_captured,,5670,1307,916fd0899b9f
2025-07-06T12:04:00,GCP,europe-west2-c,Europe,Dionaea,exploit_attempt,UDP,465,28.186.111.252,VN,AS45102,known_attacker,Windows 7/8,,,CVE-2001-0540,authentication_failed,,4732,1822,570ca74ddbcd
2025-07-06T16:08:00,GCP,us-east4-c,North America,Cowrie,command_input,UDP,3389,188.247.177.57,VN,AS14618,unknown,Windows 7/8,support,P@ssw0rd,,payload_captured,,3224,3156,a9ed55352f67
2025-07-06T17:01:00,Azure,East US,North America,Glutton,ssh_banner_grab,UDP,993,70.113.57.61,IN,AS37963,known_attacker,Unknown,,,,connection_attempted,,2166,6443,9745484cf513
2025-07-06T17:40:00,Azure,Southeast Asia,Asia,Mailoney,relay_attempt,TCP,139,70.125.138.208,CN,AS16509,known_attacker,Linux 4.x,,,,command_executed,,5122,2800,a309b983103b
2025-07-06T20:58:00,Azure,Southeast Asia,Asia,Dionaea,malware_capture,UDP,110,229.4.177.4,GB,AS13335,unknown,Linux 2.6.x,,,CVE-2012-0152,connection_attempted,3ee288d8d2363c96,3571,4410,a4e4e8c12333
2025-07-06T21:42:00,Azure,Southeast Asia,Asia,Dionaea,service_probe,TCP,110,38.50.88.86,BR,AS16509,bad_reputation,Unknown,,,CVE-2001-0540,authentication_failed,,5642,1863,b9736b95a3b0
2025-07-06T22:31:00,GCP,us-east4-c,North America,Cowrie,command_input,TCP,8080,46.11.137.246,VN,AS14618,bad_reputation,Linux 3.x,oracle,qwerty,,alert_logged,,1181,233,26ab8d66a154
2025-07-06T22:42:00,Azure,East US,North America,Dionaea,malware_capture,UDP,8080,116.66.8.199,SG,AS16509,bad_reputation,Windows 7/8,,,CVE-2006-2369,authentication_failed,c9d2bad48290e2e9,5318,1798,a5be99f282b8
2025-07-06T22:59:00,Azure,East US,North America,Cowrie,ssh_login_attempt,TCP,8080,221.167.134.138,SG,AS13335,known_attacker,Linux 2.6.x,user,qwerty,,payload_captured,,5188,3241,4ebdd2767511
2025-07-06T23:24:00,GCP,us-east4-c,North America,Cowrie,ssh_login_attempt,UDP,587,216.233.150.90,CN,AS36351,bad_reputation,Linux 2.6.x,,,,authentication_failed,,4425,1452,e562326c7c67
2025-07-06T23:56:00,Azure,Southeast Asia,Asia,Dionaea,malware_capture,UDP,995,207.24.63.157,GB,AS16509,benign_suspected,Linux 3.x,,,CVE-2005-4050,authentication_failed,5b8a8a65c6547be0,4518,2543,ac2ee7b2f398
2025-07-07T00:12:00,GCP,us-east4-c,North America,Dionaea,exploit_attempt,TCP,53,153.127.144.178,IN,AS16509,known_attacker,Linux 2.6.x,,,CVE-2012-0152,command_executed,,6482,3132,5ac7be1380c6
2025-07-07T02:55:00,GCP,us-east4-c,North America,Cowrie,ssh_login_attempt,UDP,25,118.5.150.33,IN,AS14618,known_attacker,Windows XP,user,,,authentication_failed,,3378,5188,ba5de705e999
2025-07-07T03:35:00,GCP,us-east4-c,North America,Dionaea,exploit_attempt,TCP,993,211.104.91.104,GB,AS14618,benign_suspected,Windows 7/8,,,CVE-2001-0540,alert_logged,,4380,3135,7b408508af6f
2025-07-07T05:16:00,AWS,us-east-1c,North America,Cowrie,telnet_login_attempt,TCP,995,233.181.146.174,SG,AS14061,bad_reputation,Linux 2.6.x,support,P@ssw0rd,,payload_captured,,5233,1443,51555c984ca3
2025-07-07T08:21:00,AWS,us-east-1c,North America,Glutton,ssh_banner_grab,UDP,465,75.240.129.36,US,AS13335,benign_suspected,Unknown,,,,payload_captured,,3185,3252,0088c264a197
2025-07-07T08:41:00,GCP,europe-west2-c,Europe,Cowrie,ssh_login_attempt,TCP,22,119.79.30.20,SG,AS15169,bad_reputation,Linux 2.6.x,pi,admin,,authentication_failed,,314,4006,0e03864c9b4d
2025-07-07T09:11:00,GCP,us-east4-c,North America,Dionaea,exploit_attempt,UDP,135,98.118.222.199,DE,AS16509,spam,Linux 3.x,,,CVE-2006-2369,command_executed,,2322,2880,8e5f04e85156
2025-07-07T09:16:00,GCP,europe-west2-c,Europe,Cowrie,telnet_login_attempt,UDP,587,145.31.184.209,GB,AS8075,known_attacker,Windows 7/8,test,P@ssw0rd,,authentication_failed,,4326,1088,4778afdc2db7
2025-07-07T11:58:00,Azure,Southeast Asia,Asia,Dionaea,exploit_attempt,UDP,995,145.93.39.99,IE,AS15169,benign_suspected,Windows 7/8,,,CVE-2001-0540,command_executed,,4842,1671,74e26f5c6452
2025-07-07T13:34:00,AWS,us-east-1c,North America,Dionaea,service_probe,TCP,143,231.38.176.63,RU,AS36351,bad_reputation,Linux 4.x,,,CVE-2005-4050,authentication_failed,,4581,2514,7a7007be8ab5
2025-07-07T14:25:00,Azure,Southeast Asia,Asia,Dionaea,exploit_attempt,UDP,587,148.187.7.101,GB,AS36351,bad_reputation,Linux 3.x,,,CVE-2006-2369,payload_captured,,4895,2819,2fafc0617100
2025-07-07T15:18:00,GCP,us-east4-c,North America,Dionaea,exploit_attempt,UDP,5060,79.199.225.52,IN,AS37963,unknown,Windows 7/8,,,CVE-2001-0540,command_executed,,5608,2985,d3b17681cf9f
2025-07-07T17:07:00,Azure,Southeast Asia,Asia,Heralding,credential_capture,TCP,139,166.114.53.84,RU,AS36351,known_attacker,Windows XP,guest,P@ssw0rd,,connection_attempted,,6080,2933,d41f6056d618
2025-07-07T17:14:00,Azure,Southeast Asia,Asia,Mailoney,relay_attempt,TCP,135,15.3.92.219,VN,AS14061,known_attacker,Windows 7/8,,,,alert_logged,,3814,3910,3ab62c76a6bc
2025-07-07T17:42:00,Azure,Southeast Asia,Asia,Cowrie,command_input,UDP,443,184.122.33.159,SG,AS13335,bad_reputation,Linux 2.6.x,test,12345678,,alert_logged,,2448,2445,beb926a1a59f
2025-07-07T18:29:00,GCP,us-east4-c,North America,Mailoney,smtp_probe,TCP,5060,248.80.113.107,IN,AS14618,unknown,Windows XP,,,,alert_logged,3df2d6123becbaf1,5031,379,ef44b888c359
2025-07-07T19:46:00,GCP,europe-west2-c,Europe,Dionaea,malware_capture,TCP,465,71.225.136.78,SG,AS13335,benign_suspected,Windows 7/8,,,CVE-2001-0540,connection_attempted,48c2cec13469f401,3736,1014,c6ca58ef9fae
2025-07-07T20:12:00,AWS,us-east-1c,North America,Cowrie,command_input,TCP,5060,28.66.17.219,IE,AS8075,benign_suspected,Linux 4.x,postgres,password,,authentication_failed,,3479,1470,ae0c8df12130
2025-07-07T20:23:00,GCP,us-east4-c,North America,Mailoney,relay_attempt,UDP,139,113.192.229.121,DE,AS14618,bad_reputation,Linux 2.6.x,,,,command_executed,,4805,1091,581d6d8533de
2025-07-07T20:24:00,Azure,Southeast Asia,Asia,Glutton,ssh_banner_grab,UDP,465,1.90.29.66,GB,AS15169,bad_reputation,Linux 2.6.x,,,,connection_attempted,,3362,654,2e60f68ab961
2025-07-07T22:10:00,GCP,us-east4-c,North America,Dionaea,service_probe,TCP,465,9.41.21.183,VE,AS36351,known_attacker,Windows XP,,,CVE-2006-2369,authentication_failed,,4937,3925,1112b063a860
2025-07-07T22:33:00,GCP,us-east4-c,North America,VNClowpot,vnc_auth_attempt,UDP,139,236.40.26.176,VE,AS16509,unknown,Linux 2.6.x,,,CVE-2001-0540,authentication_failed,,6766,1815,a40533583e22
2025-07-08T02:01:00,AWS,us-east-1c,North America,Dionaea,exploit_attempt,TCP,110,33.97.42.234,VN,AS14061,unknown,Linux 2.6.x,,,CVE-2006-2369,command_executed,,4246,5788,44d1a684159f
2025-07-08T03:32:00,Azure,East US,North America,Cowrie,ssh_login_attempt,UDP,5060,195.219.232.212,VE,AS16509,spam,Linux 2.6.x,postgres,qwerty,,payload_captured,,3806,3285,09fd5d513cdd
2025-07-08T04:19:00,Azure,Southeast Asia,Asia,Heralding,credential_capture,TCP,993,180.23.47.131,SG,AS15169,known_attacker,Unknown,admin,123456,,command_executed,,5621,369,641579efa9ab
2025-07-08T08:03:00,AWS,us-east-1c,North America,Glutton,tcp_connect,UDP,25,9.241.147.164,RU,AS37963,bad_reputation,Linux 3.x,,,,payload_captured,,2172,1395,78153c0a41ef
